Rental_ID,Vehicle_ID,Location_ID,Start_Date,End_Date
1,1,1,02/05/2023,04/05/2023
2,1,1,05/05/2023,07/05/2023
3,1,1,08/05/2023,09/05/2023
4,1,1,10/05/2023,13/05/2023
5,1,1,14/05/2023,15/05/2023
6,1,1,17/05/2023,18/05/2023
7,1,1,20/05/2023,21/05/2023
8,1,1,22/05/2023,24/05/2023
9,1,1,25/05/2023,26/05/2023
10,1,1,27/05/2023,31/05/2023
11,1,1,01/06/2023,05/06/2023
12,1,1,09/06/2023,11/06/2023
13,1,1,12/06/2023,15/06/2023
14,1,1,18/06/2023,20/06/2023
15,1,1,21/06/2023,22/06/2023
16,1,1,26/06/2023,28/06/2023
17,1,1,29/06/2023,01/07/2023
18,1,1,02/07/2023,06/07/2023
19,1,1,07/07/2023,09/07/202
20,1,1,10/07/2023,11/07/2023
21,1,1,12/07/2023,13/07/2023
22,1,1,14/07/2023,16/07/2023
23,1,1,17/07/2023,20/07/2023
24,1,1,21/07/2023,23/07/2023
25,1,1,24/07/2023,27/07/2023
26,1,1,28/07/2023,29/07/2023
27,1,1,31/07/2023,01/08/2023
28,2,1,01/05/2023,03/05/2023
29,2,1,04/05/2023,05/05/2023
30,2,1,06/05/2023,07/05/2023
31,2,1,08/05/2023,12/05/2023
32,2,1,13/05/2023,22/05/2023
33,2,1,24/05/2023,28/05/2023
34,2,1,29/05/2023,01/06/2023
35,2,1,03/06/2023,05/06/2023
36,2,1,06/06/2023,07/06/2023
37,2,1,09/06/2023,14/06/2023
38,2,1,17/06/2023,21/06/2023
39,2,1,23/06/2023,25/06/2023
40,2,1,27/06/2023,03/07/2023
41,2,1,04/07/2023,05/07/2023
42,2,1,06/07/2023,09/07/2023
43,2,1,10/07/2023,14/07/2023
44,2,1,15/07/2023,19/07/2023
45,2,1,21/07/2023,24/07/2023
46,2,1,25/07/2023,26/07/2023
47,2,1,28/07/2023,31/07/2023
48,3,1,03/05/2023,04/05/2023
49,3,1,05/05/2023,08/05/2023
50,3,1,09/05/2023,14/05/2023
51,3,1,15/05/2023,20/05/2023
52,3,1,21/05/2023,24/05/2023
53,3,1,25/05/2023,27/05/2023
54,3,1,28/05/2023,03/06/2023
55,3,1,04/06/2023,07/06/2023
56,3,1,08/06/2023,10/06/2023
57,3,1,11/06/2023,12/06/2023
58,3,1,13/06/2023,14/06/2023
59,3,1,15/06/2023,17/06/2023
60,3,1,18/06/2023,22/06/2023
61,3,1,23/06/2023,29/06/2023
62,3,1,30/06/2023,01/07/2023
63,3,1,02/07/2023,03/07/2023
64,3,1,05/07/2023,07/07/2023
65,3,1,08/07/2023,10/07/2023
66,3,1,11/07/2023,13/07/2023
67,3,1,15/07/2023,21/07/2023
68,3,1,22/07/2023,23/07/2023
69,3,1,24/07/2023,26/07/2023
70,3,1,27/07/2023,30/07/2023
71,3,1,31/07/2023,01/08/2023
72,4,1,01/05/2023,04/05/2023
73,4,1,07/05/2023,08/05/2023
74,4,1,12/05/2023,13/05/2023
75,4,1,14/05/2023,16/05/2023
76,4,1,17/05/2023,19/05/2023
77,4,1,20/05/2023,23/05/2023
78,4,1,27/05/2023,30/05/2023
79,4,1,31/05/2023,05/06/2023
80,4,1,06/06/2023,08/06/2023
81,4,1,09/06/2023,12/06/2023
82,4,1,13/06/2023,14/06/2023
83,4,1,15/06/2023,19/06/2023
84,4,1,20/06/2023,23/06/2023
85,4,1,24/06/2023,27/06/2023
86,4,1,28/06/2023,30/06/2023
87,4,1,01/07/2023,05/07/2023
88,4,1,07/07/2023,10/07/2023
89,4,1,11/07/2023,12/07/2023
90,4,1,13/07/2023,14/07/2023
91,4,1,16/07/2023,17/07/2023
92,4,1,18/07/2023,20/07/2023
93,4,1,21/07/2023,25/07/2023
94,4,1,26/07/2023,31/07/2023
95,5,1,01/05/2023,03/05/2023
96,5,1,04/05/2023,06/05/2023
97,5,1,07/05/2023,09/05/2023
98,5,1,11/05/2023,14/05/2023
